GeneID,NumberOfLiterature,PubMedIDs,GeneSymbol,Alias,Xref,Chromosome,Cytoband,FullName,GeneType,Description
81559,1,"23178488,",TRIM11,BIA1|RNF92,MIM:607868|HGNC:HGNC:16281|Ensembl:ENSG00000154370|Vega:OTTHUMG00000039773,1,1q42.13,tripartite motif containing 11,protein-coding,E3 ubiquitin-protein ligase TRIM11|RING finger protein 92|RING-type E3 ubiquitin transferase TRIM11|tripartite motif-containing protein 11
57447,4,"21872476,26976975,20607352,18709645,",NDRG2,SYLD,MIM:605272|HGNC:HGNC:14460|Ensembl:ENSG00000165795|Vega:OTTHUMG00000029619,14,14q11.2,NDRG family member 2,protein-coding,protein NDRG2|N-myc downstream regulator 2|N-myc downstream-regulated gene 2 protein|NDR1-related protein NDR2|cytoplasmic protein Ndr1|syld709613 protein
9122,2,"23258846,27144334,",SLC16A4,MCT4|MCT5,MIM:603878|HGNC:HGNC:10925|Ensembl:ENSG00000168679|Vega:OTTHUMG00000011285,1,1p13.3,solute carrier family 16 member 4,protein-coding,"monocarboxylate transporter 5|MCT 4|MCT 5|monocarboxylate transporter 4|solute carrier family 16 (monocarboxylic acid transporters), member 4|solute carrier family 16, member 4 (monocarboxylic acid transporter 5)"
50848,1,"28677106,",F11R,CD321|JAM|JAM1|JAMA|JCAM|KAT|PAM-1,MIM:605721|HGNC:HGNC:14685|Ensembl:ENSG00000158769|Vega:OTTHUMG00000028602,1,1q23.3,F11 receptor,protein-coding,junctional adhesion molecule A|junctional adhesion molecule 1|platelet F11 receptor|platelet adhesion molecule 1
29937,1,"30953468,",NENF,CIR2|SCIRP10|SPUF,MIM:611874|HGNC:HGNC:30384|Ensembl:ENSG00000117691|Vega:OTTHUMG00000036744,1,1q32.3,neudesin neurotrophic factor,protein-coding,neudesin|SCIRP10-related protein|Spinal cord injury related protein 10|cell growth-inhibiting protein 47|cell immortalization-related protein 2|neuron-derived neurotrophic factor|secreted protein of unknown function
8358,2,"29063957,24242757,",HIST1H3B,H3/l|H3FL,MIM:602819|HGNC:HGNC:4776|Ensembl:ENSG00000274267|Vega:OTTHUMG00000014415,6,6p22.2,histone cluster 1 H3 family member b,protein-coding,"histone H3.1|H3 histone family, member L|histone 1, H3b|histone H3/l|histone cluster 1, H3b"
27044,1,"28160566,",SND1,TDRD11|Tudor-SN|p100,MIM:602181|HGNC:HGNC:30646|Ensembl:ENSG00000197157|Vega:OTTHUMG00000157560,7,7q32.1,staphylococcal nuclease and tudor domain containing 1,protein-coding,staphylococcal nuclease domain-containing protein 1|EBNA2 coactivator p100|testis tissue sperm-binding protein Li 82P|tudor domain-containing protein 11
1026,3,"18374497,18981426,16462758,",CDKN1A,CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1,MIM:116899|HGNC:HGNC:1784|Ensembl:ENSG00000124762|Vega:OTTHUMG00000014603,6,6p21.2,cyclin dependent kinase inhibitor 1A,protein-coding,"cyclin-dependent kinase inhibitor 1|CDK-interacting protein 1|CDK-interaction protein 1|DNA synthesis inhibitor|cyclin-dependent kinase inhibitor 1A (p21, Cip1)|melanoma differentiation associated protein 6|wild-type p53-activated fragment 1"
366,1,"24086629,",AQP9,AQP-9|HsT17287|SSC1|T17287,MIM:602914|HGNC:HGNC:643|Ensembl:ENSG00000103569|Vega:OTTHUMG00000132631,15,15q21.3,aquaporin 9,protein-coding,aquaporin-9|aquaglyceroporin-9|small solute channel 1
2752,1,"21682567,",GLUL,GLNS|GS|PIG43|PIG59,MIM:138290|HGNC:HGNC:4341|Ensembl:ENSG00000135821|Vega:OTTHUMG00000037407,1,1q25.3,glutamate-ammonia ligase,protein-coding,glutamine synthetase|cell proliferation-inducing protein 59|glutamate decarboxylase|glutamine synthase|proliferation-inducing protein 43
5621,1,"28692055,",PRNP,ASCR|AltPrP|CD230|CJD|GSS|KURU|PRIP|PrP|PrP27-30|PrP33-35C|PrPc|p27-30,MIM:176640|HGNC:HGNC:9449|Ensembl:ENSG00000171867|Vega:OTTHUMG00000031786,20,20p13,prion protein,protein-coding,major prion protein|alternative prion protein|CD230 antigen|prion-related protein
4552,1,"25809864,",MTRR,MSR|cblE,MIM:602568|HGNC:HGNC:7473|Ensembl:ENSG00000124275|Vega:OTTHUMG00000090477,5,5p15.31,5-methyltetrahydrofolate-homocysteine methyltransferase reductase,protein-coding,"methionine synthase reductase|[methionine synthase]-cobalamin methyltransferase (cob(II)alamin reducing)|methionine synthase reductase, mitochondrial"
3727,1,"26747248,",JUND,AP-1,MIM:165162|HGNC:HGNC:6206|Ensembl:ENSG00000130522|Vega:OTTHUMG00000183355,19,19p13.11,"JunD proto-oncogene, AP-1 transcription factor subunit",protein-coding,transcription factor jun-D|JunD-FL isoform|activator protein 1|jun D proto-oncogene
56623,1,"28650469,",INPP5E,CORS1|CPD4|JBTS1|MORMS|PPI5PIV|pharbin,MIM:613037|HGNC:HGNC:21474|Ensembl:ENSG00000148384|Vega:OTTHUMG00000020927,9,9q34.3,inositol polyphosphate-5-phosphatase E,protein-coding,"72 kDa inositol polyphosphate 5-phosphatase|phosphatidylinositol polyphosphate 5-phosphatase type IV|phosphatidylinositol-4,5-bisphosphate 5-phosphatase"
